name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Jeep Compass,Jeep,Compass,Chandigarh,2018,Diesel,88807,1,Manual,Luxury SUV,Hi-Sector 40 D,FALSE,Chandigarh,Chandigarh,19407,7800,1187000,https://www.cars24.com/buy-used-jeep-compass-2018-cars-chandigarh-11602394760,04-10-2022
Maruti Alto,Maruti,Alto,Surat,2020,Petrol,64542,1,Manual,Hatchback,Surat-Pns,FALSE,Vyara,Gujarat,12542,0,401000,https://www.cars24.com/buy-used-maruti-alto-2020-cars-surat-13583671716,07-12-2022
Maruti Alto 800,Maruti,Alto 800,Ahmedabad,2017,Petrol,15529,2,Manual,Hatchback,Surat-Pns,FALSE,Valsad,Gujarat,9688,5000,303000,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-ahmedabad-1357750165,23-04-2022
Tata Hexa,Tata,Hexa,Gurgaon,2017,Diesel,95570,1,Manual,SUV,Sector 73,FALSE,Noida,Uttar Pradesh,12188,28100,1023000,https://www.cars24.com/buy-used-tata-hexa-2017-cars-gurgaon-10525292787,18-09-2022
Hyundai Grand i10,Hyundai,Grand I10,Kolkata,2014,Petrol,88967,2,Manual,Hatchback,Hi-North Kolkata,FALSE,Kolkata,West Bengal,13898,69800,319200,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-kolkata-1199395167,19-04-2022
Honda Jazz,Honda,Jazz,Mumbai,2018,Petrol,34460,2,Automatic,Hatchback,Hi-Worli,FALSE,Mumbai East,Maharashtra,9688,27900,613000,https://www.cars24.com/buy-used-honda-jazz-2018-cars-mumbai-10322576771,17-11-2022
Hyundai Eon,Hyundai,Eon,Kolkata,2018,Petrol,2734,1,Manual,Hatchback,Hi-Kolkata,FALSE,Kolkata,West Bengal,9688,18000,306000,https://www.cars24.com/buy-used-hyundai-eon-2018-cars-kolkata-11946395768,20-10-2022
Skoda Octavia,Skoda,Octavia,Mumbai,2017,Diesel,60771,1,Automatic,Luxury Sedan,Mumbai-Pns,FALSE,Mumbai,Maharashtra,9688,248900,1456000,https://www.cars24.com/buy-used-skoda-octavia-2017-cars-mumbai-10355498749,25-09-2022
Renault Kwid,Renault,Kwid,Ghaziabad,2018,Petrol,15076,1,Manual,Hatchback,Hi-Ghaziabad,FALSE,Delhi,Delhi,9688,9000,363000,https://www.cars24.com/buy-used-renault-kwid-2018-cars-ghaziabad-11287492769,24-10-2022
Mahindra Thar,Mahindra,Thar,Hyderabad,2022,Diesel,24520,1,Automatic,SUV,Hi-West 3 Hyd,FALSE,Hyderabad,Telangana,12188,123600,1590000,https://www.cars24.com/buy-used-mahindra-thar-2022-cars-hyderabad-10426179797,31-10-2022
Maruti XL6,Maruti,Xl6,Hyderabad,2021,Petrol,17341,1,Automatic,SUV,Hi-East Hyd,FALSE,Hyderabad,Telangana,9688,59100,1228000,https://www.cars24.com/buy-used-maruti-xl6-2021-cars-hyderabad-10442677774,06-11-2022
Hyundai i10,Hyundai,I10,Chennai,2016,Petrol,34466,1,Manual,Hatchback,Hi-Chennai South,FALSE,Chennai,Tamil Nadu,9688,5000,398000,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-chennai-11390597722,27-08-2022
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,New Delhi,2017,Petrol,34497,2,Manual,Hatchback,Hi-North Central Delhi,FALSE,Delhi,Delhi,12542,14100,381000,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-new-delhi-10093493748,01-10-2022
Maruti Vitara Brezza,Maruti,Vitara Brezza,Panipat,2017,Diesel,75758,2,Manual,SUV,New Delhi-Pns,FALSE,Delhi,Delhi,13898,30200,645000,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-panipat-1001074169,26-06-2022
Hyundai Verna,Hyundai,Verna,Chennai,2018,Petrol,37476,1,Manual,Sedan,Chennai-Pns,FALSE,Chennai,Tamil Nadu,19407,59400,885000,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-chennai-11337890786,15-07-2022
Mahindra XUV500,Mahindra,Xuv500,Kolkata,2019,Diesel,7727,1,Manual,SUV,Hi-Kolkata,FALSE,South 24 Parganas,West Bengal,19407,97900,1341000,https://www.cars24.com/buy-used-mahindra-xuv500-2019-cars-kolkata-11996795762,17-10-2022
Hyundai Elite i20,Hyundai,Elite I20,Mumbai,2014,Petrol,44584,1,Manual,Hatchback,Hi-Thane West - Manpada,FALSE,Vasai,Maharashtra,9688,5000,490000,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-mumbai-10311774771,18-11-2022
